epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9105,1.42971,1.48001,1.33271,0,0,0,0,0.65094,1.59649,0.94578,0.0702459,0.00330601,0.00330601
2,44.3881,0.7553,0.61531,0.94679,0.9974,0.75367,0.87568,0.77791,0.62569,0.52764,0.91975,0.040213,0.00660648,0.00660648
3,73.6736,0.77084,0.57133,0.94076,0.99866,0.59884,0.79865,0.69607,0.72378,0.55064,0.96099,0.0101472,0.00987395,0.00987395
4,103.343,0.73336,0.5419,0.9349,0.99941,0.6583,0.82873,0.76072,0.55291,0.42798,0.89482,0.0098515,0.0098515,0.0098515
5,130.179,0.65963,0.47892,0.91658,0.99753,0.46718,0.7323,0.70457,0.46796,0.40231,0.87219,0.009802,0.009802,0.009802
6,159.936,0.61341,0.43609,0.90131,0.99896,0.74324,0.87102,0.82127,0.47508,0.3552,0.87345,0.0097525,0.0097525,0.0097525
7,181.333,0.59225,0.41199,0.89291,0.99946,0.71158,0.85541,0.8203,0.4389,0.33159,0.86505,0.009703,0.009703,0.009703
8,198.539,0.56618,0.38679,0.88819,0.99942,0.66448,0.83194,0.80191,0.42546,0.31851,0.85939,0.0096535,0.0096535,0.0096535
9,216.025,0.55292,0.37597,0.88014,0.9994,0.63822,0.81864,0.795,0.41052,0.30457,0.85822,0.009604,0.009604,0.009604
10,233.039,0.5367,0.36147,0.88166,0.9994,0.63938,0.81921,0.79684,0.40079,0.30071,0.85299,0.0095545,0.0095545,0.0095545
11,249.772,0.52091,0.34824,0.87405,0.99937,0.60849,0.80379,0.78494,0.40519,0.2914,0.85259,0.009505,0.009505,0.009505
12,266.642,0.50559,0.33623,0.87005,0.99938,0.62124,0.81015,0.79394,0.37974,0.2788,0.85074,0.0094555,0.0094555,0.0094555
13,283.636,0.49683,0.33,0.86916,0.9994,0.63784,0.8184,0.80288,0.38966,0.26318,0.85122,0.009406,0.009406,0.009406
14,300.808,0.48556,0.32177,0.8662,0.99941,0.65676,0.82787,0.80692,0.39637,0.27324,0.8509,0.0093565,0.0093565,0.0093565
15,317.888,0.4837,0.31769,0.86327,0.99945,0.70579,0.85254,0.83644,0.36819,0.25895,0.84161,0.009307,0.009307,0.009307
16,335.23,0.47491,0.30948,0.85963,0.99949,0.75135,0.87525,0.85391,0.36734,0.25138,0.84117,0.0092575,0.0092575,0.0092575
17,353.136,0.46099,0.29701,0.86176,0.99947,0.72201,0.86052,0.84359,0.35841,0.24008,0.83938,0.009208,0.009208,0.009208
18,370.977,0.45622,0.29756,0.85696,0.99948,0.73707,0.86804,0.85274,0.35252,0.24771,0.83886,0.0091585,0.0091585,0.0091585
19,388.01,0.44932,0.29577,0.85661,0.9994,0.63977,0.81947,0.80691,0.34188,0.23841,0.83875,0.009109,0.009109,0.009109
20,404.954,0.44094,0.2896,0.85127,0.99942,0.66216,0.83069,0.82278,0.33265,0.23558,0.83485,0.0090595,0.0090595,0.0090595
21,422.321,0.43871,0.2849,0.85316,0.99947,0.72587,0.86247,0.8503,0.32995,0.21948,0.8371,0.00901,0.00901,0.00901
22,439.497,0.43589,0.28531,0.85176,0.9994,0.64402,0.82155,0.81226,0.32123,0.2239,0.83615,0.0089605,0.0089605,0.0089605
23,456.811,0.43195,0.2777,0.85209,0.99946,0.71815,0.85861,0.84658,0.32358,0.22218,0.83337,0.008911,0.008911,0.008911
24,474.047,0.42358,0.27742,0.85019,0.99944,0.69459,0.84679,0.83431,0.33914,0.2197,0.83894,0.0088615,0.0088615,0.0088615
25,491.583,0.42456,0.27427,0.84596,0.99948,0.74479,0.8719,0.8589,0.32673,0.22736,0.83248,0.008812,0.008812,0.008812
26,508.935,0.41784,0.26796,0.84825,0.99945,0.70154,0.85028,0.83833,0.34835,0.2237,0.83406,0.0087625,0.0087625,0.0087625
27,526.146,0.4202,0.27024,0.84871,0.99946,0.70811,0.85357,0.84305,0.32613,0.21502,0.83402,0.008713,0.008713,0.008713
28,543.279,0.41397,0.26627,0.8457,0.99942,0.66834,0.83368,0.82641,0.30938,0.21277,0.82977,0.0086635,0.0086635,0.0086635
29,560.481,0.4047,0.26575,0.84604,0.99947,0.7278,0.86341,0.85245,0.31339,0.21022,0.83233,0.008614,0.008614,0.008614
30,577.939,0.40969,0.2648,0.84293,0.9995,0.76448,0.88174,0.87035,0.31336,0.20925,0.82737,0.0085645,0.0085645,0.0085645
31,595.231,0.40412,0.25529,0.8418,0.99947,0.7251,0.86207,0.85284,0.31082,0.20838,0.82654,0.008515,0.008515,0.008515
32,612.854,0.40283,0.26061,0.84375,0.99951,0.78649,0.89278,0.87952,0.31243,0.20669,0.83137,0.0084655,0.0084655,0.0084655
33,630.23,0.40077,0.25892,0.84234,0.99949,0.76409,0.88156,0.87097,0.30205,0.20343,0.82544,0.008416,0.008416,0.008416
34,647.769,0.39411,0.25824,0.84107,0.99948,0.74208,0.8706,0.86138,0.31104,0.20569,0.82628,0.0083665,0.0083665,0.0083665
35,665.432,0.39364,0.261,0.84055,0.99947,0.72355,0.86132,0.85324,0.3099,0.21468,0.82619,0.008317,0.008317,0.008317
36,683.108,0.39197,0.26192,0.83847,0.99948,0.739,0.86905,0.86047,0.29567,0.20147,0.82454,0.0082675,0.0082675,0.0082675
37,708.827,0.39405,0.25792,0.84112,0.99949,0.75483,0.87692,0.86851,0.29774,0.20718,0.82167,0.008218,0.008218,0.008218
38,739.158,0.38914,0.25515,0.8352,0.99949,0.76332,0.88124,0.8712,0.29227,0.20037,0.82299,0.0081685,0.0081685,0.0081685
39,769.603,0.38509,0.25774,0.83745,0.99949,0.75598,0.8775,0.86927,0.29824,0.19745,0.82192,0.008119,0.008119,0.008119
40,800.108,0.38771,0.25456,0.83954,0.99951,0.79035,0.89475,0.8859,0.28629,0.19267,0.82156,0.0080695,0.0080695,0.0080695
41,830.244,0.38264,0.25553,0.83482,0.99948,0.73591,0.86746,0.86011,0.29722,0.20418,0.82404,0.00802,0.00802,0.00802
42,864.03,0.37776,0.24824,0.83408,0.99952,0.81158,0.90534,0.89395,0.29042,0.19018,0.82111,0.0079705,0.0079705,0.0079705
43,891.486,0.38211,0.25021,0.83735,0.99948,0.74093,0.87001,0.86251,0.28377,0.19365,0.82219,0.007921,0.007921,0.007921
44,908.743,0.37541,0.25096,0.83423,0.99948,0.74788,0.87348,0.86612,0.28755,0.19326,0.8198,0.0078715,0.0078715,0.0078715
45,926.363,0.37765,0.25058,0.83357,0.99952,0.80618,0.90264,0.89179,0.28942,0.19124,0.8212,0.007822,0.007822,0.007822
46,943.925,0.37133,0.24242,0.83144,0.99952,0.80849,0.90382,0.89359,0.28303,0.18795,0.81857,0.0077725,0.0077725,0.0077725
47,961.294,0.37281,0.24524,0.835,0.9995,0.76486,0.88194,0.87338,0.29057,0.19284,0.82361,0.007723,0.007723,0.007723
