epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9641,5.30735,3.47921,3.9949,0,0,0,0,5.04124,3.30616,3.8062,0.0702459,0.00330601,0.00330601
2,74.6068,3.89887,2.73278,3.30665,0.17687,0.01004,0.09357,0.02809,3.17443,3.85589,2.9882,0.040213,0.00660648,0.00660648
3,110.591,2.6346,1.82792,2.25311,0.47725,0.33205,0.38153,0.14913,2.59233,5.97552,2.59882,0.0101472,0.00987395,0.00987395
4,145.701,1.85931,1.21438,1.56171,0.99286,0.05367,0.52331,0.42154,1.40484,1.03016,1.3673,0.0098515,0.0098515,0.0098515
5,186.588,1.41953,0.90353,1.26722,0.99823,0.21737,0.60773,0.522,1.16022,0.88211,1.19819,0.009802,0.009802,0.009802
6,218.56,1.20191,0.75325,1.14177,0.99732,0.14363,0.5705,0.49558,1.04746,0.66297,1.12159,0.0097525,0.0097525,0.0097525
7,250.765,1.09836,0.66658,1.08559,0.99927,0.52664,0.76276,0.67525,0.79687,0.55513,1.00506,0.009703,0.009703,0.009703
8,281.604,0.99443,0.60561,1.04237,1,0.10463,0.5523,0.50592,0.81712,0.52896,1.01317,0.0096535,0.0096535,0.0096535
9,313.028,0.95737,0.57897,1.01984,0.99935,0.59537,0.79716,0.69703,0.77611,0.52603,0.98016,0.009604,0.009604,0.009604
10,343.758,0.89702,0.53843,1.00084,0.99822,0.2166,0.60753,0.55543,0.73736,0.46003,0.96817,0.0095545,0.0095545,0.0095545
11,374.965,0.85721,0.51332,0.98214,0.99893,0.36023,0.67944,0.62716,0.66162,0.42024,0.9405,0.009505,0.009505,0.009505
12,406.66,0.81959,0.49435,0.97212,0.99865,0.28494,0.64167,0.60037,0.60612,0.39502,0.919,0.0094555,0.0094555,0.0094555
13,438.043,0.79523,0.4736,0.95886,0.99905,0.40425,0.7015,0.65615,0.61411,0.39023,0.91312,0.009406,0.009406,0.009406
14,469.067,0.76114,0.46177,0.94832,0.99614,0.09961,0.54778,0.51883,0.64403,0.39875,0.92711,0.0093565,0.0093565,0.0093565
15,501.383,0.7422,0.44721,0.94111,0.99885,0.33398,0.66628,0.6324,0.57775,0.36695,0.90061,0.009307,0.009307,0.009307
16,532.935,0.71749,0.43329,0.92851,0.99735,0.43629,0.71655,0.68427,0.61251,0.39529,0.91074,0.0092575,0.0092575,0.0092575
17,563.938,0.69279,0.4198,0.92891,0.99866,0.28764,0.64302,0.62004,0.52451,0.34745,0.88978,0.009208,0.009208,0.009208
18,595.485,0.67833,0.41484,0.92102,0.99929,0.54054,0.76975,0.74066,0.5229,0.339,0.88352,0.0091585,0.0091585,0.0091585
19,627.262,0.66357,0.4039,0.91808,0.99886,0.33861,0.66856,0.64488,0.50931,0.33827,0.88214,0.009109,0.009109,0.009109
20,659.731,0.64417,0.39355,0.9078,0.99931,0.56139,0.7803,0.74738,0.52287,0.3343,0.88673,0.0090595,0.0090595,0.0090595
21,691.164,0.64501,0.38864,0.90927,0.99932,0.56757,0.78325,0.75396,0.4832,0.3118,0.87576,0.00901,0.00901,0.00901
22,723.798,0.62855,0.38455,0.90669,0.99922,0.4973,0.74807,0.72324,0.49869,0.31528,0.87755,0.0089605,0.0089605,0.0089605
23,755.77,0.61881,0.37645,0.9035,0.99922,0.49498,0.7469,0.72287,0.51033,0.3238,0.88088,0.008911,0.008911,0.008911
24,787.544,0.60769,0.36936,0.89912,0.99917,0.46718,0.73306,0.71185,0.46917,0.30371,0.87171,0.0088615,0.0088615,0.0088615
25,821.904,0.59977,0.36463,0.8926,0.99938,0.62587,0.81248,0.78682,0.4594,0.29171,0.86665,0.008812,0.008812,0.008812
26,853.926,0.58411,0.35943,0.89208,0.99918,0.4722,0.7355,0.72198,0.43797,0.2969,0.86355,0.0087625,0.0087625,0.0087625
27,886.196,0.58037,0.3579,0.89287,0.99929,0.54672,0.77288,0.75446,0.42726,0.28488,0.86047,0.008713,0.008713,0.008713
28,917.876,0.57562,0.35149,0.88732,0.99934,0.58842,0.79371,0.7733,0.439,0.29072,0.86417,0.0086635,0.0086635,0.0086635
29,949.448,0.55981,0.34684,0.88929,0.99925,0.51506,0.75697,0.74569,0.41199,0.27192,0.85758,0.008614,0.008614,0.008614
30,980.721,0.56293,0.34607,0.88309,0.99939,0.63629,0.81766,0.799,0.41215,0.27284,0.85661,0.0085645,0.0085645,0.0085645
31,1011.74,0.55103,0.33164,0.87921,0.99937,0.61081,0.8049,0.78791,0.42279,0.27796,0.86052,0.008515,0.008515,0.008515
32,1043.27,0.54539,0.33587,0.87957,0.99938,0.62664,0.81296,0.7952,0.4165,0.27079,0.85727,0.0084655,0.0084655,0.0084655
33,1074.87,0.54222,0.33362,0.88046,0.99942,0.66023,0.82967,0.81247,0.40229,0.26936,0.85199,0.008416,0.008416,0.008416
34,1106.47,0.52418,0.32697,0.87538,0.99933,0.57838,0.78878,0.77373,0.40192,0.26539,0.85318,0.0083665,0.0083665,0.0083665
35,1138.57,0.52567,0.32524,0.87724,0.99933,0.57181,0.78553,0.77419,0.39847,0.26827,0.85062,0.008317,0.008317,0.008317
36,1169.64,0.52226,0.32391,0.8719,0.99939,0.63552,0.81725,0.80315,0.38462,0.26197,0.84567,0.0082675,0.0082675,0.0082675
37,1201.72,0.52147,0.31958,0.87551,0.9994,0.64247,0.82076,0.80671,0.3922,0.25828,0.84717,0.008218,0.008218,0.008218
38,1233.03,0.51192,0.31961,0.86924,0.9994,0.64633,0.82266,0.80989,0.38792,0.25931,0.84918,0.0081685,0.0081685,0.0081685
39,1264.34,0.50268,0.31239,0.86896,0.99939,0.63398,0.81656,0.80366,0.38455,0.25035,0.84483,0.008119,0.008119,0.008119
40,1296.67,0.50268,0.314,0.8719,0.99938,0.62008,0.80964,0.79763,0.37903,0.2521,0.84606,0.0080695,0.0080695,0.0080695
41,1329.43,0.49668,0.30943,0.86811,0.9994,0.64556,0.82233,0.80974,0.3844,0.25158,0.84537,0.00802,0.00802,0.00802
42,1360.87,0.48949,0.3017,0.86351,0.9994,0.63977,0.81956,0.80891,0.36572,0.24125,0.84014,0.0079705,0.0079705,0.0079705
43,1392.25,0.49039,0.30601,0.86776,0.99937,0.61583,0.80757,0.79788,0.35773,0.24006,0.84336,0.007921,0.007921,0.007921
44,1424.01,0.48701,0.30325,0.86438,0.99939,0.63591,0.8175,0.80708,0.37459,0.24934,0.84337,0.0078715,0.0078715,0.0078715
45,1457.98,0.48519,0.30183,0.8632,0.99936,0.60309,0.80105,0.79123,0.36841,0.24323,0.84059,0.007822,0.007822,0.007822
46,1488.76,0.47835,0.29672,0.86234,0.99939,0.63668,0.81804,0.80805,0.37089,0.24698,0.84229,0.0077725,0.0077725,0.0077725
47,1520.2,0.47539,0.29651,0.86441,0.99943,0.67645,0.83777,0.82617,0.36074,0.23507,0.83791,0.007723,0.007723,0.007723
48,1552.22,0.46597,0.29723,0.8588,0.99946,0.71351,0.85628,0.8444,0.35429,0.22929,0.83935,0.0076735,0.0076735,0.0076735
49,1583.74,0.46446,0.29054,0.85657,0.99942,0.66602,0.83258,0.82128,0.35238,0.23338,0.83881,0.007624,0.007624,0.007624
50,1616.99,0.46949,0.29509,0.86097,0.99943,0.68263,0.84083,0.83089,0.34838,0.22959,0.8386,0.0075745,0.0075745,0.0075745
51,1650.45,0.4559,0.28949,0.85852,0.99943,0.67143,0.83532,0.82657,0.34195,0.22617,0.83726,0.007525,0.007525,0.007525
52,1681.96,0.45661,0.28329,0.85852,0.99944,0.69035,0.84478,0.83359,0.3415,0.22442,0.83699,0.0074755,0.0074755,0.0074755
53,1713.42,0.45781,0.28333,0.85781,0.99944,0.69112,0.84515,0.83479,0.34326,0.2249,0.83533,0.007426,0.007426,0.007426
54,1744.8,0.44918,0.28577,0.85536,0.99941,0.65637,0.82774,0.81884,0.34167,0.23072,0.83585,0.0073765,0.0073765,0.0073765
55,1779.12,0.44846,0.28407,0.85746,0.99946,0.71467,0.85695,0.84397,0.34933,0.22513,0.83729,0.007327,0.007327,0.007327
56,1809.97,0.44812,0.28164,0.85515,0.99945,0.69807,0.84863,0.839,0.33399,0.22125,0.83388,0.0072775,0.0072775,0.0072775
57,1841.72,0.44621,0.2783,0.85276,0.99948,0.73784,0.86851,0.85711,0.33021,0.21717,0.83241,0.007228,0.007228,0.007228
58,1873.11,0.44023,0.27767,0.84913,0.99944,0.69035,0.84484,0.83505,0.32927,0.21797,0.83309,0.0071785,0.0071785,0.0071785
59,1904.68,0.43884,0.27728,0.85209,0.99946,0.72008,0.85966,0.8482,0.32811,0.21638,0.83327,0.007129,0.007129,0.007129
60,1936.98,0.43218,0.27059,0.85009,0.99947,0.72548,0.86228,0.85181,0.33059,0.21535,0.83125,0.0070795,0.0070795,0.0070795
61,1969.53,0.42664,0.27106,0.84729,0.99943,0.6722,0.83579,0.82743,0.32218,0.21124,0.82912,0.00703,0.00703,0.00703
62,2002.06,0.43281,0.27109,0.84888,0.99945,0.70502,0.8522,0.84368,0.31923,0.21294,0.83013,0.0069805,0.0069805,0.0069805
63,2033.71,0.43062,0.27228,0.84863,0.99947,0.7332,0.86626,0.85519,0.32357,0.2126,0.82964,0.006931,0.006931,0.006931
64,2065.3,0.42824,0.27021,0.8498,0.99945,0.70347,0.85142,0.84165,0.32813,0.21344,0.83038,0.0068815,0.0068815,0.0068815
65,2101.29,0.42536,0.26687,0.85003,0.99946,0.71776,0.85855,0.84788,0.33194,0.21628,0.83272,0.006832,0.006832,0.006832
66,2132.06,0.42512,0.26836,0.84577,0.99944,0.68764,0.84344,0.83521,0.31589,0.211,0.82861,0.0067825,0.0067825,0.0067825
67,2163.51,0.41973,0.26924,0.84721,0.99947,0.72239,0.86075,0.85106,0.31149,0.20876,0.82766,0.006733,0.006733,0.006733
68,2194.85,0.41549,0.25821,0.84564,0.99949,0.75792,0.87856,0.86805,0.31937,0.20776,0.82537,0.0066835,0.0066835,0.0066835
69,2226.25,0.41569,0.25824,0.84576,0.99949,0.75367,0.87649,0.86604,0.31929,0.20656,0.82962,0.006634,0.006634,0.006634
70,2257.08,0.41328,0.26225,0.84388,0.99946,0.71969,0.85949,0.85115,0.30955,0.20441,0.82649,0.0065845,0.0065845,0.0065845
71,2289.53,0.40739,0.25576,0.84218,0.99949,0.75251,0.87582,0.86497,0.31153,0.20129,0.82596,0.006535,0.006535,0.006535
72,2320.53,0.40696,0.26154,0.84888,0.99949,0.74981,0.87462,0.86452,0.30838,0.20252,0.82718,0.0064855,0.0064855,0.0064855
73,2351.7,0.40407,0.25552,0.84142,0.99949,0.75058,0.87487,0.86545,0.30053,0.19975,0.82361,0.006436,0.006436,0.006436
74,2383.18,0.40159,0.25657,0.84735,0.99949,0.75907,0.87923,0.8697,0.30192,0.20011,0.82397,0.0063865,0.0063865,0.0063865
75,2417.29,0.40114,0.25278,0.84106,0.99948,0.74865,0.87403,0.86454,0.30575,0.2012,0.82615,0.006337,0.006337,0.006337
76,2448.11,0.40241,0.25112,0.84305,0.99949,0.75174,0.87555,0.86638,0.30461,0.1991,0.82476,0.0062875,0.0062875,0.0062875
77,2479.34,0.40268,0.25231,0.84353,0.99949,0.75907,0.87917,0.86935,0.29409,0.19449,0.82199,0.006238,0.006238,0.006238
78,2510.43,0.39774,0.25387,0.8433,0.99949,0.761,0.88005,0.87173,0.29298,0.19784,0.82245,0.0061885,0.0061885,0.0061885
79,2541.64,0.3959,0.25221,0.84356,0.99949,0.75483,0.87699,0.86784,0.29309,0.19541,0.82195,0.006139,0.006139,0.006139
80,2572.5,0.39219,0.24982,0.84358,0.99949,0.75869,0.87896,0.87046,0.29569,0.19499,0.82296,0.0060895,0.0060895,0.0060895
81,2605.08,0.39115,0.25037,0.83931,0.9995,0.77529,0.88726,0.87634,0.30315,0.1979,0.82359,0.00604,0.00604,0.00604
82,2636.14,0.39092,0.24962,0.84381,0.99948,0.74015,0.86973,0.85887,0.31867,0.2068,0.82859,0.0059905,0.0059905,0.0059905
83,2667.38,0.38527,0.2418,0.83958,0.9995,0.77452,0.8868,0.87684,0.29511,0.19548,0.82283,0.005941,0.005941,0.005941
84,2698.94,0.38221,0.24445,0.83531,0.99947,0.7305,0.86491,0.85663,0.30311,0.19918,0.82583,0.0058915,0.0058915,0.0058915
85,2733,0.3835,0.24372,0.83646,0.99951,0.7888,0.89408,0.88379,0.29387,0.19127,0.82068,0.005842,0.005842,0.005842
86,2763.86,0.39097,0.24649,0.8395,0.99949,0.76023,0.87977,0.87113,0.28964,0.1918,0.82175,0.0057925,0.0057925,0.0057925
87,2795.4,0.38131,0.243,0.83631,0.99949,0.75985,0.87955,0.8702,0.28999,0.18995,0.82308,0.005743,0.005743,0.005743
88,2827.53,0.37921,0.24122,0.83974,0.9995,0.77799,0.88874,0.87949,0.28682,0.18953,0.81956,0.0056935,0.0056935,0.0056935
89,2859.87,0.37883,0.24327,0.83882,0.99949,0.75058,0.87499,0.86653,0.29179,0.19516,0.82161,0.005644,0.005644,0.005644
90,2892.74,0.37354,0.23805,0.83482,0.99949,0.75444,0.87681,0.86862,0.29056,0.1924,0.82189,0.0055945,0.0055945,0.0055945
91,2925.91,0.37173,0.23494,0.83396,0.99951,0.7834,0.89127,0.88234,0.27999,0.18695,0.81813,0.005545,0.005545,0.005545
92,2958.13,0.37494,0.23641,0.83888,0.9995,0.77954,0.88935,0.88167,0.27898,0.18542,0.81733,0.0054955,0.0054955,0.0054955
93,2992.16,0.37766,0.23833,0.83604,0.9995,0.77876,0.88901,0.88026,0.28054,0.18525,0.81702,0.005446,0.005446,0.005446
94,3031,0.37126,0.2348,0.83665,0.99949,0.76293,0.88104,0.87344,0.28124,0.18282,0.81794,0.0053965,0.0053965,0.0053965
95,3073.88,0.36548,0.23483,0.83459,0.99951,0.78456,0.89194,0.88332,0.28148,0.18472,0.81917,0.005347,0.005347,0.005347
96,3111.09,0.36245,0.23453,0.83375,0.9995,0.77568,0.88743,0.87943,0.28112,0.1858,0.81871,0.0052975,0.0052975,0.0052975
97,3148.49,0.36537,0.23124,0.83453,0.99952,0.80116,0.90027,0.89102,0.27551,0.18095,0.81688,0.005248,0.005248,0.005248
98,3180.65,0.36326,0.2358,0.83598,0.9995,0.7695,0.88434,0.8759,0.28085,0.18393,0.81723,0.0051985,0.0051985,0.0051985
99,3212.96,0.36656,0.23331,0.83421,0.99951,0.78958,0.89437,0.88595,0.27788,0.18255,0.81706,0.005149,0.005149,0.005149
100,3246.24,0.36574,0.23383,0.83528,0.99951,0.79537,0.89727,0.88819,0.27745,0.17966,0.81719,0.0050995,0.0050995,0.0050995
