epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1202,0.67276,1.34327,0.95513,1,0.03359,0.51678,0.50716,0.48043,1.02135,0.87878,0.0702459,0.00330601,0.00330601
2,40.2195,0.63788,0.62863,0.92609,0.99125,0.83127,0.91148,0.82886,0.53788,0.52945,0.8847,0.040213,0.00660648,0.00660648
3,64.766,0.67024,0.60335,0.93439,0.99832,0.68803,0.84334,0.77224,0.57229,0.50124,0.89179,0.0101472,0.00987395,0.00987395
4,89.4428,0.65773,0.59018,0.93854,0.99881,0.6471,0.82308,0.77129,0.48944,0.46245,0.86796,0.0098515,0.0098515,0.0098515
5,113.759,0.62279,0.53474,0.92505,0.99714,0.80772,0.90294,0.84122,0.47811,0.4069,0.87506,0.009802,0.009802,0.009802
6,138.194,0.59068,0.50122,0.91499,0.99771,0.84286,0.92034,0.86963,0.44158,0.39006,0.86547,0.0097525,0.0097525,0.0097525
7,162.527,0.57644,0.47147,0.90981,0.99885,0.67066,0.83498,0.79831,0.43165,0.36462,0.86128,0.009703,0.009703,0.009703
8,186.935,0.55418,0.45274,0.90623,0.99952,0.7973,0.89826,0.86244,0.42265,0.33825,0.85897,0.0096535,0.0096535,0.0096535
9,211.262,0.54584,0.43841,0.89971,0.99861,0.83012,0.9146,0.87394,0.44422,0.34459,0.86202,0.009604,0.009604,0.009604
10,235.652,0.52712,0.42751,0.89681,0.99817,0.84324,0.92103,0.88538,0.4134,0.35062,0.85742,0.0095545,0.0095545,0.0095545
11,260.118,0.5243,0.4127,0.89486,0.99902,0.7861,0.89243,0.85995,0.4276,0.32319,0.85648,0.009505,0.009505,0.009505
12,284.384,0.50558,0.40332,0.88745,0.99857,0.80656,0.90269,0.87263,0.3954,0.29604,0.85542,0.0094555,0.0094555,0.0094555
13,309.013,0.5067,0.39379,0.88906,0.9995,0.76486,0.88212,0.85911,0.38344,0.30017,0.85021,0.009406,0.009406,0.009406
14,333.576,0.48606,0.37859,0.88186,0.99951,0.79266,0.89595,0.86662,0.38534,0.30935,0.85105,0.0093565,0.0093565,0.0093565
15,357.97,0.48741,0.37965,0.88191,0.9995,0.77568,0.88739,0.86517,0.37367,0.29882,0.84926,0.009307,0.009307,0.009307
16,382.4,0.48347,0.36506,0.87829,0.99905,0.81506,0.907,0.8853,0.35707,0.27687,0.84703,0.0092575,0.0092575,0.0092575
17,406.896,0.46966,0.3605,0.87695,0.99953,0.82432,0.91169,0.89,0.35181,0.28168,0.83792,0.009208,0.009208,0.009208
18,431.387,0.47249,0.35637,0.87531,0.99904,0.80502,0.90203,0.88138,0.35972,0.28025,0.84113,0.0091585,0.0091585,0.0091585
