epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2878,1.42414,1.48563,1.34674,0,0,0,0,0.66149,1.41743,0.94648,0.0702459,0.00330601,0.00330601
2,29.9956,0.75623,0.62044,0.94755,0.99764,0.81544,0.90694,0.79532,0.65308,0.51693,0.92308,0.0402196,0.00661305,0.00661305
3,44.487,0.76548,0.57821,0.93863,0.99788,0.72703,0.86288,0.77454,0.6286,0.49139,0.92127,0.0101669,0.00989369,0.00989369
4,59.042,0.7317,0.54087,0.93232,0.99876,0.62085,0.80974,0.73817,0.56529,0.43957,0.91022,0.0098812,0.0098812,0.0098812
5,73.4491,0.65984,0.4902,0.91737,0.99919,0.47876,0.73899,0.68266,0.54119,0.42406,0.89967,0.0098416,0.0098416,0.0098416
6,87.7142,0.62,0.44646,0.90266,0.99886,0.67915,0.83906,0.77817,0.5278,0.37689,0.88694,0.009802,0.009802,0.009802
7,102.047,0.59292,0.4118,0.89291,0.99951,0.78533,0.89218,0.83277,0.48457,0.34143,0.87949,0.0097624,0.0097624,0.0097624
8,116.456,0.57202,0.39279,0.88904,0.99948,0.73629,0.86765,0.83075,0.43043,0.31618,0.86225,0.0097228,0.0097228,0.0097228
9,130.654,0.54988,0.37301,0.88029,0.99944,0.68919,0.84412,0.81448,0.4295,0.30777,0.85765,0.0096832,0.0096832,0.0096832
10,144.97,0.53196,0.36016,0.88191,0.99946,0.71081,0.85518,0.82782,0.41514,0.29292,0.85447,0.0096436,0.0096436,0.0096436
11,159.476,0.52111,0.34598,0.87452,0.99939,0.63398,0.81646,0.80086,0.39077,0.28486,0.8531,0.009604,0.009604,0.009604
12,173.877,0.5044,0.33142,0.8685,0.99946,0.71622,0.85767,0.83649,0.38408,0.27142,0.84857,0.0095644,0.0095644,0.0095644
13,188.268,0.50329,0.32693,0.86986,0.99944,0.68803,0.84352,0.82137,0.38937,0.27284,0.85314,0.0095248,0.0095248,0.0095248
14,202.635,0.48142,0.31943,0.86453,0.99943,0.68147,0.84024,0.82427,0.37144,0.25844,0.84393,0.0094852,0.0094852,0.0094852
15,217.355,0.47938,0.31334,0.86115,0.99942,0.66911,0.83407,0.81929,0.36074,0.25907,0.84189,0.0094456,0.0094456,0.0094456
16,236.535,0.47242,0.30858,0.85896,0.99949,0.75985,0.87967,0.86159,0.37636,0.25363,0.84734,0.009406,0.009406,0.009406
17,257.317,0.46026,0.29915,0.86072,0.99894,0.73089,0.8649,0.84646,0.36503,0.25095,0.84732,0.0093664,0.0093664,0.0093664
18,271.799,0.45854,0.29247,0.85815,0.99948,0.74865,0.87386,0.85701,0.35814,0.24249,0.83804,0.0093268,0.0093268,0.0093268
19,286.133,0.45313,0.29313,0.85795,0.99947,0.7278,0.86341,0.84928,0.34553,0.23737,0.83666,0.0092872,0.0092872,0.0092872
20,300.429,0.44281,0.29029,0.85059,0.99946,0.71081,0.85493,0.84104,0.33912,0.23041,0.83438,0.0092476,0.0092476,0.0092476
21,314.952,0.44545,0.28642,0.85551,0.99946,0.70811,0.85357,0.84371,0.32027,0.22006,0.83373,0.009208,0.009208,0.009208
