epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4988,384.79,3.21693,2.70997,0,0,0,0,107.443,3.24166,1.15968,0.0702459,0.00330601,0.00330601
2,32.1687,121.969,2.87285,1.10706,0,0,0,0,118.644,2.72488,1.02595,0.0402196,0.00661305,0.00661305
3,47.525,132.207,2.26646,1.05826,0.88571,0.01197,0.44886,0.305,162.796,1.77857,1.12609,0.0101669,0.00989369,0.00989369
4,63.3507,151.11,1.3949,1.11914,0.95424,0.54749,0.74768,0.68751,178.014,1.30553,1.23547,0.0098812,0.0098812,0.0098812
5,79.3276,132.323,1.10472,1.07818,0.98213,0.65792,0.82344,0.79606,137.432,0.98622,1.07279,0.0098416,0.0098416,0.0098416
6,95.2319,121.924,0.98077,1.05016,0.9809,0.77336,0.88185,0.84775,131.479,0.80138,1.09292,0.009802,0.009802,0.009802
7,111.192,117.644,0.88988,1.02209,0.98607,0.79266,0.89305,0.86965,115.101,0.71548,1.02236,0.0097624,0.0097624,0.0097624
8,127.068,110.283,0.84196,1.01848,0.98862,0.83822,0.91507,0.88205,111.937,0.69231,1.01118,0.0097228,0.0097228,0.0097228
9,142.947,106.874,0.79426,0.9983,0.98743,0.84903,0.92113,0.88929,109.756,0.65836,0.99169,0.0096832,0.0096832,0.0096832
10,158.759,101.39,0.76081,0.9953,0.9903,0.86757,0.93147,0.89903,101.072,0.58242,0.9946,0.0096436,0.0096436,0.0096436
11,174.53,103.029,0.74005,0.99589,0.99585,0.83359,0.91567,0.88788,101.883,0.60702,0.96906,0.009604,0.009604,0.009604
12,190.376,98.5956,0.72907,0.9845,0.98705,0.88301,0.93902,0.90589,96.1124,0.56352,0.97699,0.0095644,0.0095644,0.0095644
13,206.082,97.11,0.69172,0.97535,0.98729,0.89961,0.94679,0.9137,94.8196,0.53545,0.95504,0.0095248,0.0095248,0.0095248
14,221.889,94.8063,0.67002,0.96387,0.98636,0.89344,0.94391,0.90978,89.239,0.5514,0.94429,0.0094852,0.0094852,0.0094852
15,237.836,92.8293,0.66815,0.95803,0.99087,0.87954,0.93703,0.908,91.2561,0.54545,0.93677,0.0094456,0.0094456,0.0094456
16,253.86,90.942,0.63262,0.95731,0.98828,0.91158,0.95269,0.92442,88.5444,0.49196,0.94491,0.009406,0.009406,0.009406
17,269.863,91.3243,0.61871,0.9482,0.98915,0.91544,0.95549,0.92132,88.5437,0.49307,0.947,0.0093664,0.0093664,0.0093664
18,285.853,89.44,0.62068,0.94445,0.99116,0.90888,0.95229,0.92056,88.9032,0.50034,0.9372,0.0093268,0.0093268,0.0093268
19,301.961,87.6501,0.59774,0.94309,0.99355,0.89228,0.94332,0.91227,88.6775,0.47815,0.93727,0.0092872,0.0092872,0.0092872
20,317.755,87.2324,0.58601,0.93802,0.9927,0.89305,0.94485,0.91578,83.357,0.47033,0.93304,0.0092476,0.0092476,0.0092476
21,334.881,91.4458,0.57866,0.93812,0.99271,0.89344,0.94422,0.91814,84.8278,0.45115,0.92996,0.009208,0.009208,0.009208
22,359.795,85.7594,0.56401,0.93564,0.99166,0.91776,0.9569,0.92556,82.8948,0.4388,0.93206,0.0091684,0.0091684,0.0091684
23,384.863,86.6439,0.55648,0.93247,0.99373,0.91853,0.95759,0.93053,83.9687,0.43866,0.91036,0.0091288,0.0091288,0.0091288
24,409.906,86.2731,0.55615,0.93308,0.9957,0.89305,0.94553,0.92103,81.7867,0.43728,0.91083,0.0090892,0.0090892,0.0090892
25,434.79,85.5998,0.55018,0.9322,0.99387,0.87606,0.9355,0.90595,89.6806,0.45548,0.9288,0.0090496,0.0090496,0.0090496
26,459.792,85.5674,0.53831,0.93276,0.994,0.89498,0.94622,0.92437,81.9684,0.4089,0.91116,0.00901,0.00901,0.00901
27,484.694,85.4825,0.52839,0.92683,0.99742,0.89614,0.94723,0.9217,84.7186,0.41291,0.92254,0.0089704,0.0089704,0.0089704
28,509.699,86.4337,0.52424,0.93043,0.99495,0.91351,0.95478,0.92692,80.6284,0.39623,0.9339,0.0089308,0.0089308,0.0089308
29,534.87,83.7668,0.51983,0.9359,0.9928,0.90463,0.94917,0.91724,82.3158,0.4083,0.9224,0.0088912,0.0088912,0.0088912
30,555.565,84.3268,0.51711,0.92146,0.99241,0.90927,0.95266,0.92296,80.2536,0.39543,0.90872,0.0088516,0.0088516,0.0088516
31,571.241,81.2857,0.50499,0.91926,0.99358,0.89614,0.94642,0.92076,79.3894,0.3871,0.9123,0.008812,0.008812,0.008812
32,587.161,81.8232,0.5024,0.9188,0.99697,0.89073,0.94449,0.92412,76.4292,0.38318,0.90892,0.0087724,0.0087724,0.0087724
33,608.676,83.2657,0.49821,0.91835,0.99195,0.90386,0.94959,0.92361,80.4022,0.38004,0.9041,0.0087328,0.0087328,0.0087328
34,633.582,79.269,0.492,0.91904,0.99361,0.9,0.94901,0.92797,77.3859,0.36437,0.91301,0.0086932,0.0086932,0.0086932
35,658.499,82.1115,0.49532,0.91485,0.99397,0.89112,0.94323,0.91414,77.9452,0.38686,0.90241,0.0086536,0.0086536,0.0086536
36,683.648,82.1086,0.48845,0.91493,0.99327,0.91197,0.95311,0.92369,79.9362,0.40023,0.90948,0.008614,0.008614,0.008614
37,708.601,83.0626,0.48811,0.91678,0.99444,0.89807,0.9468,0.91768,75.7643,0.37358,0.90937,0.0085744,0.0085744,0.0085744
38,733.597,81.489,0.47688,0.91491,0.99356,0.89382,0.94458,0.91979,76.824,0.35636,0.90637,0.0085348,0.0085348,0.0085348
