epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.838,2.40338,2.88996,2.82653,0,0,0,0,1.55494,2.71427,2.03943,0.0702459,0.00330601,0.00330601
2,30.7993,1.45444,1.49533,1.74752,0.98369,0.39575,0.69029,0.53173,1.18321,1.2618,1.62404,0.0402196,0.00661305,0.00661305
3,45.6847,1.18486,1.1296,1.44239,0.98585,0.72625,0.86013,0.67914,1.04644,1.1984,1.43368,0.0101669,0.00989369,0.00989369
4,60.9141,1.02656,0.96944,1.28399,0.99466,0.64749,0.82205,0.67883,0.93902,0.88443,1.26452,0.0098812,0.0098812,0.0098812
5,84.6284,0.90565,0.82225,1.19431,0.99907,0.41544,0.7071,0.63078,0.79533,0.74154,1.1382,0.0098416,0.0098416,0.0098416
6,108.934,0.83821,0.72875,1.13792,0.99851,0.77683,0.88784,0.78153,0.72275,0.66027,1.10128,0.009802,0.009802,0.009802
7,123.89,0.78164,0.66971,1.09444,0.99947,0.72317,0.86122,0.78135,0.65511,0.55024,1.04906,0.0097624,0.0097624,0.0097624
8,138.753,0.74528,0.62229,1.07827,0.99947,0.72162,0.86041,0.78348,0.64036,0.54435,1.04521,0.0097228,0.0097228,0.0097228
9,158.478,0.72091,0.58965,1.05629,0.99887,0.68456,0.84179,0.79058,0.57386,0.4799,1.00356,0.0096832,0.0096832,0.0096832
10,182.707,0.68424,0.55468,1.03177,0.99935,0.59614,0.79781,0.74725,0.57544,0.45982,0.99495,0.0096436,0.0096436,0.0096436
11,203.564,0.66611,0.53421,1.02233,0.99941,0.65792,0.82867,0.7796,0.56438,0.46379,0.98283,0.009604,0.009604,0.009604
12,218.442,0.65531,0.51724,1.01379,0.9993,0.55058,0.77493,0.73967,0.53349,0.43096,0.97655,0.0095644,0.0095644,0.0095644
13,240.29,0.6448,0.49945,1.00886,0.9994,0.63861,0.81889,0.77697,0.53606,0.42959,0.98202,0.0095248,0.0095248,0.0095248
14,254.913,0.61769,0.48057,0.99304,0.99935,0.58996,0.79476,0.75586,0.5211,0.40152,0.96286,0.0094852,0.0094852,0.0094852
15,274.242,0.62348,0.47566,0.99541,0.9994,0.63784,0.81855,0.77767,0.53218,0.39995,0.97838,0.0094456,0.0094456,0.0094456
16,297.874,0.60072,0.45788,0.98073,0.99933,0.57606,0.78764,0.75494,0.52493,0.39991,0.96888,0.009406,0.009406,0.009406
