epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3493,0.49086,0.57525,0.92407,0.99247,0.91544,0.95672,0.92591,0.353,0.3284,0.85247,0.070123,0.00331967,0.00331967
2,123.857,0.53001,0.43279,0.90783,0.99901,0.38803,0.69363,0.65575,0.50989,0.34223,0.90556,0.0401041,0.00663419,0.00663419
3,184.131,0.60153,0.48858,0.93632,0.98976,0.9332,0.96492,0.86574,0.55456,0.52357,0.92096,0.0100665,0.00992984,0.00992984
4,246.02,0.61491,0.46109,0.94885,0.99945,0.70772,0.85337,0.80727,0.48726,0.34164,0.90014,0.00991514,0.00991514,0.00991514
5,308.869,0.59123,0.42247,0.94658,1,0.11931,0.55965,0.54542,0.40854,0.31305,0.89619,0.00988686,0.00988686,0.00988686
6,369.105,0.56487,0.40217,0.93961,0.99932,0.56873,0.78385,0.76898,0.41794,0.31683,0.89773,0.00985857,0.00985857,0.00985857
7,442.493,0.54157,0.38928,0.93298,0.99873,0.30463,0.65157,0.64336,0.40338,0.29279,0.88924,0.00983029,0.00983029,0.00983029
8,516.678,0.51034,0.36925,0.9256,1,0.23745,0.61871,0.60653,0.37436,0.2765,0.88318,0.009802,0.009802,0.009802
9,591.059,0.50695,0.35229,0.91954,0.99942,0.66293,0.831,0.81449,0.38302,0.28314,0.87986,0.00977371,0.00977371,0.00977371
10,666.661,0.48697,0.35014,0.91513,0.99948,0.74633,0.87271,0.85528,0.37607,0.27091,0.88183,0.00974543,0.00974543,0.00974543
11,740.724,0.47847,0.34038,0.91279,0.99935,0.59344,0.7963,0.78513,0.35963,0.26586,0.87768,0.00971714,0.00971714,0.00971714
12,813.993,0.47083,0.33423,0.91304,0.99952,0.79923,0.89916,0.88096,0.34414,0.24289,0.87468,0.00968886,0.00968886,0.00968886
13,881.319,0.46168,0.32511,0.90878,0.999,0.7722,0.88568,0.86998,0.33986,0.2483,0.86886,0.00966057,0.00966057,0.00966057
