epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9329,0.52567,0.61557,0.93278,0.99951,0.78263,0.89094,0.87323,0.36843,0.2729,0.85539,0.0702459,0.00330601,0.00330601
2,220.893,0.52665,0.44219,0.89948,0.99896,0.73938,0.86919,0.83001,0.46406,0.37283,0.89011,0.0402196,0.00661305,0.00661305
3,461.573,0.59959,0.47018,0.92119,0.9896,0.91853,0.95743,0.85922,0.55139,0.63521,0.91913,0.0101669,0.00989369,0.00989369
4,746.608,0.61132,0.46496,0.93335,0.99892,0.71699,0.85795,0.79117,0.53681,0.45246,0.93798,0.0098812,0.0098812,0.0098812
5,1004.97,0.5806,0.42543,0.93125,0.99941,0.65444,0.82676,0.78826,0.48838,0.33925,0.90522,0.0098416,0.0098416,0.0098416
6,1271.28,0.55575,0.4006,0.91649,0.99813,0.82432,0.91155,0.87475,0.40184,0.32346,0.87704,0.009802,0.009802,0.009802
7,1558.7,0.53004,0.38067,0.90813,0.99943,0.67799,0.83855,0.81666,0.40219,0.29548,0.88258,0.0097624,0.0097624,0.0097624
8,1878.92,0.51736,0.37331,0.90702,0.99943,0.68224,0.84063,0.82008,0.40821,0.29816,0.87716,0.0097228,0.0097228,0.0097228
9,2175.86,0.5043,0.35622,0.89915,0.99894,0.72973,0.86429,0.84313,0.38519,0.27801,0.86612,0.0096832,0.0096832,0.0096832
10,2460.63,0.48888,0.34409,0.89598,0.99941,0.64981,0.82446,0.80477,0.41381,0.27371,0.88991,0.0096436,0.0096436,0.0096436
11,2711.67,0.47861,0.34184,0.89478,0.99946,0.72124,0.86019,0.83974,0.39268,0.27055,0.87098,0.009604,0.009604,0.009604
12,3035.03,0.46507,0.33354,0.88684,0.99932,0.56602,0.78245,0.77357,0.34301,0.25537,0.85372,0.0095644,0.0095644,0.0095644
13,3394.68,0.46017,0.32897,0.88795,0.99939,0.63745,0.81823,0.81067,0.34333,0.25198,0.85897,0.0095248,0.0095248,0.0095248
14,3704.76,0.44472,0.31513,0.88145,0.99845,0.74595,0.87184,0.85976,0.33832,0.25192,0.85199,0.0094852,0.0094852,0.0094852
15,3968.4,0.44368,0.31917,0.87896,0.99946,0.71506,0.85707,0.84684,0.33439,0.24491,0.85373,0.0094456,0.0094456,0.0094456
16,4244.7,0.43501,0.30937,0.87409,0.999,0.77259,0.88574,0.87279,0.33198,0.24346,0.85409,0.009406,0.009406,0.009406
17,4494.99,0.42704,0.30445,0.87578,0.99949,0.76371,0.88142,0.86876,0.33812,0.24187,0.85343,0.0093664,0.0093664,0.0093664
18,4784.04,0.42197,0.298,0.87288,0.99904,0.80579,0.90234,0.88856,0.33089,0.23979,0.84627,0.0093268,0.0093268,0.0093268
19,5074.39,0.41713,0.29896,0.87154,0.99949,0.75753,0.87829,0.86829,0.31739,0.23316,0.84833,0.0092872,0.0092872,0.0092872
20,5396.64,0.40856,0.29394,0.86786,0.99948,0.74402,0.87154,0.86175,0.32063,0.23317,0.84795,0.0092476,0.0092476,0.0092476
21,5658.18,0.41197,0.28789,0.87115,0.99899,0.7668,0.88272,0.87349,0.30552,0.22224,0.84251,0.009208,0.009208,0.009208
22,5958.32,0.40573,0.28769,0.86592,0.9995,0.76448,0.88175,0.87402,0.29344,0.21882,0.84019,0.0091684,0.0091684,0.0091684
23,6239.02,0.40295,0.28468,0.86725,0.99949,0.75753,0.87835,0.87139,0.29351,0.21971,0.84145,0.0091288,0.0091288,0.0091288
24,6497.5,0.39343,0.28249,0.86489,0.99953,0.82394,0.91158,0.89892,0.30682,0.22442,0.84342,0.0090892,0.0090892,0.0090892
25,6805.31,0.39145,0.27652,0.85868,0.99903,0.79344,0.89619,0.88667,0.28896,0.23207,0.8379,0.0090496,0.0090496,0.0090496
26,7110.25,0.39017,0.27431,0.86208,0.99946,0.71274,0.85588,0.84926,0.2958,0.21541,0.83986,0.00901,0.00901,0.00901
27,7432.22,0.38304,0.27098,0.85847,0.99953,0.81351,0.9063,0.89467,0.29355,0.20712,0.83756,0.0089704,0.0089704,0.0089704
28,7723.38,0.38036,0.26728,0.86085,0.99953,0.82934,0.91424,0.90564,0.27568,0.20079,0.83306,0.0089308,0.0089308,0.0089308
29,7900.71,0.37637,0.26465,0.85909,0.9995,0.77761,0.88834,0.88171,0.27406,0.2021,0.83192,0.0088912,0.0088912,0.0088912
30,8190.62,0.37276,0.26413,0.85366,0.99954,0.83282,0.91593,0.90709,0.27381,0.20237,0.83235,0.0088516,0.0088516,0.0088516
31,8495.96,0.36335,0.25439,0.85424,0.99951,0.79421,0.89664,0.88929,0.27563,0.1938,0.83594,0.008812,0.008812,0.008812
32,8815.74,0.36461,0.25696,0.85431,0.99952,0.7973,0.89817,0.89161,0.26975,0.18901,0.83197,0.0087724,0.0087724,0.0087724
33,9079.9,0.36267,0.25504,0.85121,0.99864,0.84903,0.92393,0.91448,0.26548,0.19196,0.82949,0.0087328,0.0087328,0.0087328
