epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.1622,4.94237,3.23085,3.73075,0,0,0,0,3.48947,2.69393,3.20951,0.070123,0.00331967,0.00331967
2,227.111,2.49348,1.64152,2.16164,1,0.03475,0.51736,0.41403,1.446,1.00301,1.51403,0.0401041,0.00663419,0.00663419
3,415.25,1.66768,1.01107,1.45412,0.99839,0.47838,0.73847,0.51288,1.45037,0.96221,1.41905,0.0100665,0.00992984,0.00992984
4,713.539,1.39279,0.87719,1.26122,0.99915,0.45444,0.72696,0.55024,1.25226,0.74325,1.26521,0.00991514,0.00991514,0.00991514
5,1035.6,1.21596,0.77599,1.15386,1,0.10579,0.55288,0.48513,0.88011,0.62119,1.04934,0.00988686,0.00988686,0.00988686
6,1408.53,1.08089,0.68809,1.08339,1,0.14865,0.57432,0.51214,0.83477,0.5648,1.0149,0.00985857,0.00985857,0.00985857
7,1725.56,1.00203,0.62696,1.04584,1,0.32239,0.66118,0.59679,0.74882,0.51514,0.97825,0.00983029,0.00983029,0.00983029
8,2026.96,0.92725,0.58602,1.01752,1,0.29035,0.64517,0.57536,0.74382,0.49172,0.96806,0.009802,0.009802,0.009802
9,2372.88,0.88037,0.55503,0.99927,0.99916,0.45714,0.7282,0.66256,0.67971,0.4522,0.94248,0.00977371,0.00977371,0.00977371
10,2641.76,0.8367,0.51849,0.98286,0.9992,0.47992,0.73974,0.68485,0.63131,0.42444,0.92911,0.00974543,0.00974543,0.00974543
11,2866.78,0.8014,0.50624,0.97249,0.99909,0.42239,0.71087,0.6645,0.60543,0.41313,0.91697,0.00971714,0.00971714,0.00971714
12,3000.71,0.78072,0.48362,0.96234,0.99881,0.32355,0.66131,0.62764,0.56229,0.39915,0.91132,0.00968886,0.00968886,0.00968886
13,3224.29,0.74766,0.47331,0.95367,0.99905,0.40734,0.70321,0.66479,0.55766,0.38926,0.90169,0.00966057,0.00966057,0.00966057
14,3506.38,0.72855,0.45472,0.94119,0.99934,0.5834,0.79132,0.74304,0.55632,0.37591,0.90695,0.00963229,0.00963229,0.00963229
15,3780.65,0.70724,0.44591,0.93998,0.99918,0.46988,0.73437,0.70164,0.53751,0.36815,0.89771,0.009604,0.009604,0.009604
16,4045.75,0.69097,0.42708,0.9285,0.999,0.38533,0.6922,0.66514,0.51191,0.35695,0.88186,0.00957571,0.00957571,0.00957571
17,4228.72,0.66614,0.42154,0.92725,1,0.21351,0.60674,0.59422,0.47961,0.34513,0.8823,0.00954743,0.00954743,0.00954743
18,4394.2,0.66681,0.4135,0.92069,0.99923,0.50309,0.75104,0.72402,0.49679,0.33429,0.87905,0.00951914,0.00951914,0.00951914
19,4596.36,0.64873,0.41132,0.92029,0.99932,0.56911,0.78413,0.76024,0.47161,0.32409,0.87373,0.00949086,0.00949086,0.00949086
20,4790.61,0.63763,0.39696,0.91447,0.99924,0.50849,0.75383,0.73138,0.45824,0.32022,0.87015,0.00946257,0.00946257,0.00946257
21,4995.73,0.62779,0.39312,0.91215,0.99912,0.43822,0.71851,0.7028,0.44946,0.30626,0.86733,0.00943429,0.00943429,0.00943429
22,5240.01,0.62449,0.38671,0.90975,0.99929,0.54479,0.77186,0.75386,0.44525,0.30381,0.86491,0.009406,0.009406,0.009406
23,5445.55,0.60259,0.37496,0.90367,0.99897,0.37297,0.68593,0.67451,0.43401,0.30724,0.86528,0.00937771,0.00937771,0.00937771
24,5586.89,0.5934,0.37037,0.89738,0.99922,0.49459,0.74676,0.73199,0.42813,0.29811,0.85832,0.00934943,0.00934943,0.00934943
25,5790.76,0.582,0.3681,0.8917,0.99935,0.59459,0.79694,0.77912,0.41423,0.2907,0.8571,0.00932114,0.00932114,0.00932114
26,5950.15,0.58164,0.36084,0.89809,0.99917,0.46718,0.73302,0.72119,0.42099,0.28946,0.85854,0.00929286,0.00929286,0.00929286
27,6167.06,0.56549,0.35499,0.89088,0.99931,0.55637,0.77769,0.76363,0.41763,0.28951,0.85815,0.00926457,0.00926457,0.00926457
28,6378.79,0.56056,0.35407,0.89209,0.99935,0.59807,0.79852,0.78405,0.41134,0.28671,0.85604,0.00923629,0.00923629,0.00923629
29,6597.02,0.55704,0.34994,0.89127,0.99926,0.51969,0.75931,0.74302,0.41156,0.28103,0.85642,0.009208,0.009208,0.009208
30,6706.56,0.55783,0.34833,0.8907,0.99934,0.5888,0.79405,0.78181,0.39962,0.2753,0.85038,0.00917971,0.00917971,0.00917971
